

      Longitude          Obliquity        Amplitude
     In       Out       In       Out      (mas)
    (mas)    (mas)     (mas)    (mas)
   0.0005  -0.0011   -0.0005  -0.0002     0.0007
   0.0024   0.0005    0.0002  -0.0011     0.0015
   0.0000   0.0005    0.0003   0.0001     0.0004
   0.0013   0.0000    0.0000   0.0000     0.0005
   0.0000  -0.0005   -0.0003   0.0000     0.0004
   0.0050   0.0000    0.0000  -0.0027     0.0034
  -0.0003   0.0016    0.0000   0.0000     0.0007
   0.0007   0.0013    0.0000   0.0000     0.0006
   0.0003   0.0000    0.0000  -0.0001     0.0002
   0.0008   0.0012    0.0005  -0.0003     0.0008
   0.0000  -0.0032   -0.0017   0.0000     0.0021
   0.0003   0.0000    0.0000   0.0000     0.0001
  -0.0024  -0.0013   -0.0006   0.0010     0.0016
  -0.0004   0.0000    0.0000   0.0002     0.0003
   0.0004   0.0000    0.0000  -0.0002     0.0003
  -0.0005   0.0000    0.0001   0.0003     0.0004
   0.0000   0.0031    0.0000   0.0000     0.0012
  -0.0005   0.0000    0.0000   0.0002     0.0003
   0.0003   0.0000    0.0000  -0.0002     0.0002
  -0.0004   0.0008    0.0004   0.0002     0.0006
   0.0117   0.0000    0.0000  -0.0063     0.0078
   0.0000  -0.0004    0.0000   0.0000     0.0002
  -0.0008   0.0000    0.0001   0.0004     0.0005
  -0.0006   0.0000    0.0000   0.0003     0.0004
  -0.0005   0.0000    0.0000   0.0002     0.0003
  -0.1166   0.0000    0.0000   0.0505     0.0687
   0.0009   0.0049    0.0026  -0.0005     0.0033
  -0.0027  -0.0143   -0.0077   0.0014     0.0098
   0.0042   0.0223    0.0119  -0.0022     0.0151
  -0.0025   0.0022    0.0000   0.0000     0.0013
   0.0007   0.0000    0.0000  -0.0003     0.0004
   0.0000   0.0003    0.0002  -0.0001     0.0003
  -0.0003   0.0000    0.0000   0.0000     0.0001
   0.0016   0.0000    0.0000  -0.0009     0.0011
   0.0005   0.0003    0.0000   0.0000     0.0002
  -0.0004   0.0010    0.0004   0.0002     0.0006
