               In Phase                          Out of phase
       Psi     dPsi/dt   Eps    dEps/dt   Psi   dPsi/dt    Eps  Deps/dt
       (mas)   (mas/c)    (mas)   (mas/c)  (mas)  (mas/c)  (mas)  (mas/c)
      0.0141   0.0000    -0.0072  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0147   0.0000    -0.0075  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0132   0.0000     0.0069  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0159   0.0000    -0.0054  0.0000 -0.0028  0.0000  0.0011  0.0000
      0.0213   0.0000    -0.0004  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0123   0.0000    -0.0064  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0118   0.0000     0.0066  0.0000 -0.0001  0.0000  0.0000  0.0000
      0.0144   0.0000    -0.0061  0.0000 -0.0001  0.0000  0.0000  0.0000
     -0.0121   0.0000     0.0060  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.0134   0.0000     0.0056  0.0000  0.0001  0.0000  0.0001  0.0000
     -0.0105   0.0000     0.0057  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0102   0.0000     0.0056  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0120   0.0000    -0.0052  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0101   0.0000    -0.0054  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0113   0.0000     0.0059  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0106   0.0000     0.0061  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0129   0.0000     0.0055  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.0114   0.0000     0.0057  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0113   0.0000    -0.0049  0.0000 -0.0001  0.0000  0.0000  0.0000
     -0.0102   0.0000     0.0044  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0094   0.0000     0.0051  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0100   0.0000     0.0056  0.0000 -0.0001  0.0000  0.0000  0.0000
      0.0087   0.0000    -0.0047  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0161   0.0000    -0.0001  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0096   0.0000    -0.0050  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0151   0.0000    -0.0005  0.0000 -0.0001  0.0000  0.0000  0.0000
     -0.0104   0.0000     0.0044  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0110   0.0000     0.0048  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0100   0.0000     0.0050  0.0000  0.0001  0.0000  0.0000  0.0000
      0.0092   0.0000     0.0012  0.0000 -0.0005  0.0000 -0.0002  0.0000
